name,age,nationality,position,club,market_value,profile_url,matches,goals,assists,minutes_played,competition_stats
Folarin Balogun,Folarin Balogun,Unknown,Folarin BalogunCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770,,€25.00m,10,3,{}
Edon Zhegrova,Edon Zhegrova,Unknown,Edon ZhegrovaRight Winger,Unknown club,€25.00m,https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857,,€25.00m,20,8,{}
Wesley Fofana,Wesley Fofana,Unknown,Wesley FofanaCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,,€25.00m,10,0,{}
Facundo Medina,Facundo Medina,Unknown,Facundo MedinaCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/facundo-medina/profil/spieler/474800,,€25.00m,11,0,{}
Nathan Collins,Nathan Collins,Unknown,Nathan CollinsCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/nathan-collins/profil/spieler/469050,,€25.00m,17,1,{}
Malik Tillman,Malik Tillman,Unknown,Malik TillmanAttacking Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/malik-tillman/profil/spieler/467437,,€25.00m,21,6,{}
Mattéo Guendouzi,Mattéo Guendouzi,Unknown,Mattéo GuendouziCentral Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/matteo-guendouzi/profil/spieler/465830,,€25.00m,17,2,{}
Lucas Chevalier,Lucas Chevalier,Unknown,Lucas ChevalierGoalkeeper,Unknown club,€25.00m,https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600,,€25.00m,19,0,{}
Rodrigo Riquelme,Rodrigo Riquelme,Unknown,Rodrigo RiquelmeLeft Winger,Unknown club,€25.00m,https://www.transfermarkt.com/rodrigo-riquelme/profil/spieler/461617,,€25.00m,12,0,{}
Yann Bisseck,Yann Bisseck,Unknown,Yann BisseckCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/yann-bisseck/profil/spieler/441986,,€25.00m,11,0,{}
Jørgen Strand Larsen,Jørgen Strand Larsen,Unknown,Jørgen Strand LarsenCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/jorgen-strand-larsen/profil/spieler/429983,,€25.00m,15,4,{}
Amine Gouiri,Amine Gouiri,Unknown,Amine GouiriCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,,€25.00m,11,1,{}
Andriy Lunin,Andriy Lunin,Unknown,Andriy LuninGoalkeeper,Unknown club,€25.00m,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,,€25.00m,5,0,{}
Yangel Herrera,Yangel Herrera,Unknown,Yangel HerreraCentral Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/yangel-herrera/profil/spieler/378293,,€25.00m,14,2,{}
Evan Ndicka,Evan Ndicka,Unknown,Evan NdickaCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/evan-ndicka/profil/spieler/371149,,€25.00m,15,0,{}
Antonee Robinson,Antonee Robinson,Unknown,Antonee RobinsonLeft-Back,Unknown club,€25.00m,https://www.transfermarkt.com/antonee-robinson/profil/spieler/349701,,€25.00m,13,0,{}
Sean Longstaff,Sean Longstaff,Unknown,Sean LongstaffCentral Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/sean-longstaff/profil/spieler/346707,,€25.00m,13,0,{}
Tammy Abraham,Tammy Abraham,Unknown,Tammy AbrahamCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/tammy-abraham/profil/spieler/331726,,€25.00m,11,2,{}
Vangelis Pavlidis,Vangelis Pavlidis,Unknown,Vangelis PavlidisCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/vangelis-pavlidis/profil/spieler/324503,,€25.00m,20,7,{}
David Raum,David Raum,Unknown,David RaumLeft-Back,Unknown club,€25.00m,https://www.transfermarkt.com/david-raum/profil/spieler/318204,,€25.00m,11,0,{}
Hee-chan Hwang,Hee-chan Hwang,Unknown,Hee-chan HwangCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/hee-chan-hwang/profil/spieler/292246,,€25.00m,8,0,{}
Kevin Danso,Kevin Danso,Unknown,Kevin DansoCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/kevin-danso/profil/spieler/263236,,€25.00m,7,0,{}
Gianluca Mancini,Gianluca Mancini,Unknown,Gianluca ManciniCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/gianluca-mancini/profil/spieler/256448,,€25.00m,14,1,{}
Iñaki Williams,Iñaki Williams,Unknown,Iñaki WilliamsRight Winger,Unknown club,€25.00m,https://www.transfermarkt.com/inaki-williams/profil/spieler/255508,,€25.00m,16,5,{}
Alex Iwobi,Alex Iwobi,Unknown,Alex IwobiLeft Winger,Unknown club,€25.00m,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,,€25.00m,13,2,{}
Alexander Sørloth,Alexander Sørloth,Unknown,Alexander SørlothCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407,,€25.00m,21,6,{}
Otávio,Otávio,Unknown,OtávioAttacking Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/otavio/profil/spieler/231289,,€25.00m,19,0,{}
Fabinho,Fabinho,Unknown,FabinhoDefensive Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/fabinho/profil/spieler/225693,,€25.00m,12,1,{}
Álex Remiro,Álex Remiro,Unknown,Álex RemiroGoalkeeper,Unknown club,€25.00m,https://www.transfermarkt.com/alex-remiro/profil/spieler/212862,,€25.00m,16,0,{}
Ruben Loftus-Cheek,Ruben Loftus-Cheek,Unknown,Ruben Loftus-CheekCentral Midfield,Unknown club,€25.00m,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,,€25.00m,14,0,{}
João Cancelo,João Cancelo,Unknown,João CanceloRight-Back,Unknown club,€25.00m,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,,€25.00m,15,1,{}
Kurt Zouma,Kurt Zouma,Unknown,Kurt ZoumaCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/kurt-zouma/profil/spieler/157509,,€25.00m,6,0,{}
Antoine Griezmann,Antoine Griezmann,Unknown,Antoine GriezmannCentre-Forward,Unknown club,€25.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,,€25.00m,20,4,{}
Thibaut Courtois,Thibaut Courtois,Unknown,Thibaut CourtoisGoalkeeper,Unknown club,€25.00m,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,,€25.00m,12,0,{}
Antonio Rüdiger,Antonio Rüdiger,Unknown,Antonio RüdigerCentre-Back,Unknown club,€25.00m,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,,€25.00m,19,2,{}
Lionel Messi,Lionel Messi,Unknown,Lionel MessiRight Winger,Unknown club,€25.00m,https://www.transfermarkt.com/lionel-messi/profil/spieler/28003,,€25.00m,0,0,{}
Luis Guilherme,Luis Guilherme,Unknown,Luis GuilhermeRight Winger,Unknown club,€24.00m,https://www.transfermarkt.com/luis-guilherme/profil/spieler/991800,,€24.00m,3,0,{}
Lewis Ferguson,Lewis Ferguson,Unknown,Lewis FergusonAttacking Midfield,Unknown club,€24.00m,https://www.transfermarkt.com/lewis-ferguson/profil/spieler/428563,,€24.00m,2,0,{}
Weston McKennie,Weston McKennie,Unknown,Weston McKennieCentral Midfield,Unknown club,€24.00m,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697,,€24.00m,12,2,{}
Waldemar Anton,Waldemar Anton,Unknown,Waldemar AntonCentre-Back,Unknown club,€24.00m,https://www.transfermarkt.com/waldemar-anton/profil/spieler/193004,,€24.00m,15,1,{}
Quilindschy Hartman,Quilindschy Hartman,Unknown,Quilindschy HartmanLeft-Back,Unknown club,€23.00m,https://www.transfermarkt.com/quilindschy-hartman/profil/spieler/514285,,€23.00m,0,0,{}
Daniel Muñoz,Daniel Muñoz,Unknown,Daniel MuñozRight-Back,Unknown club,€23.00m,https://www.transfermarkt.com/daniel-munoz/profil/spieler/493003,,€23.00m,14,0,{}
Pedro,Pedro,Unknown,PedroCentre-Forward,Unknown club,€23.00m,https://www.transfermarkt.com/pedro/profil/spieler/432895,,€23.00m,0,0,{}
Trincão,Trincão,Unknown,TrincãoRight Winger,Unknown club,€23.00m,https://www.transfermarkt.com/trincao/profil/spieler/412669,,€23.00m,19,3,{}
Nathan Tella,Nathan Tella,Unknown,Nathan TellaRight Midfield,Unknown club,€23.00m,https://www.transfermarkt.com/nathan-tella/profil/spieler/340322,,€23.00m,12,0,{}
Carlos Baleba,Carlos Baleba,Unknown,Carlos BalebaDefensive Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/carlos-baleba/profil/spieler/973085,,€22.00m,11,2,{}
Lewis Miley,Lewis Miley,Unknown,Lewis MileyCentral Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/lewis-miley/profil/spieler/922769,,€22.00m,1,0,{}
Antonio Nusa,Antonio Nusa,Unknown,Antonio NusaLeft Winger,Unknown club,€22.00m,https://www.transfermarkt.com/antonio-nusa/profil/spieler/894914,,€22.00m,24,3,{}
Michael Kayode,Michael Kayode,Unknown,Michael KayodeRight-Back,Unknown club,€22.00m,https://www.transfermarkt.com/michael-kayode/profil/spieler/823486,,€22.00m,8,0,{}
Lewis Hall,Lewis Hall,Unknown,Lewis HallLeft-Back,Unknown club,€22.00m,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858,,€22.00m,15,0,{}
Julio Enciso,Julio Enciso,Unknown,Julio EncisoAttacking Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/julio-enciso/profil/spieler/660867,,€22.00m,10,0,{}
Jarell Quansah,Jarell Quansah,Unknown,Jarell QuansahCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,,€22.00m,5,0,{}
Aitor Paredes,Aitor Paredes,Unknown,Aitor ParedesCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/aitor-paredes/profil/spieler/591916,,€22.00m,12,2,{}
Carlos Augusto,Carlos Augusto,Unknown,Carlos AugustoLeft-Back,Unknown club,€22.00m,https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982,,€22.00m,9,0,{}
Dwight McNeil,Dwight McNeil,Unknown,Dwight McNeilLeft Winger,Unknown club,€22.00m,https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769,,€22.00m,12,4,{}
Jan Paul van Hecke,Jan Paul van Hecke,Unknown,Jan Paul van HeckeCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/jan-paul-van-hecke/profil/spieler/576314,,€22.00m,11,0,{}
Elliot Anderson,Elliot Anderson,Unknown,Elliot AndersonCentral Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576,,€22.00m,13,0,{}
Bart Verbruggen,Bart Verbruggen,Unknown,Bart VerbruggenGoalkeeper,Unknown club,€22.00m,https://www.transfermarkt.com/bart-verbruggen/profil/spieler/565093,,€22.00m,14,0,{}
Zeno Debast,Zeno Debast,Unknown,Zeno DebastCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/zeno-debast/profil/spieler/548193,,€22.00m,21,1,{}
Fábio Vieira,Fábio Vieira,Unknown,Fábio VieiraAttacking Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598,,€22.00m,10,0,{}
Amad Diallo,Amad Diallo,Unknown,Amad DialloRight Winger,Unknown club,€22.00m,https://www.transfermarkt.com/amad-diallo/profil/spieler/536835,,€22.00m,16,3,{}
Jesper Lindstrøm,Jesper Lindstrøm,Unknown,Jesper LindstrømAttacking Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/jesper-lindstrom/profil/spieler/513245,,€22.00m,10,0,{}
James Garner,James Garner,Unknown,James GarnerDefensive Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/james-garner/profil/spieler/505219,,€22.00m,5,0,{}
Yunus Musah,Yunus Musah,Unknown,Yunus MusahCentral Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/yunus-musah/profil/spieler/503991,,€22.00m,15,1,{}
Taylor Harwood-Bellis,Taylor Harwood-Bellis,Unknown,Taylor Harwood-BellisCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977,,€22.00m,14,3,{}
Morgan Rogers,Morgan Rogers,Unknown,Morgan RogersAttacking Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/morgan-rogers/profil/spieler/503743,,€22.00m,16,5,{}
Francisco Conceição,Francisco Conceição,Unknown,Francisco ConceiçãoRight Winger,Unknown club,€22.00m,https://www.transfermarkt.com/francisco-conceicao/profil/spieler/487474,,€22.00m,11,2,{}
Crysencio Summerville,Crysencio Summerville,Unknown,Crysencio SummervilleLeft Winger,Unknown club,€22.00m,https://www.transfermarkt.com/crysencio-summerville/profil/spieler/474701,,€22.00m,12,1,{}
Kevin Schade,Kevin Schade,Unknown,Kevin SchadeLeft Winger,Unknown club,€22.00m,https://www.transfermarkt.com/kevin-schade/profil/spieler/473050,,€22.00m,15,1,{}
Marcos Senesi,Marcos Senesi,Unknown,Marcos SenesiCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781,,€22.00m,10,0,{}
Youssef En-Nesyri,Youssef En-Nesyri,Unknown,Youssef En-NesyriCentre-Forward,Unknown club,€22.00m,https://www.transfermarkt.com/youssef-en-nesyri/profil/spieler/433049,,€22.00m,17,4,{}
Aaron Ramsdale,Aaron Ramsdale,Unknown,Aaron RamsdaleGoalkeeper,Unknown club,€22.00m,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,,€22.00m,10,0,{}
Callum Hudson-Odoi,Callum Hudson-Odoi,Unknown,Callum Hudson-OdoiLeft Winger,Unknown club,€22.00m,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,,€22.00m,12,2,{}
Dan Ndoye,Dan Ndoye,Unknown,Dan NdoyeRight Winger,Unknown club,€22.00m,https://www.transfermarkt.com/dan-ndoye/profil/spieler/365108,,€22.00m,15,0,{}
Sergiño Dest,Sergiño Dest,Unknown,Sergiño DestRight-Back,Unknown club,€22.00m,https://www.transfermarkt.com/sergino-dest/profil/spieler/361104,,€22.00m,0,0,{}
Igor Zubeldia,Igor Zubeldia,Unknown,Igor ZubeldiaCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/igor-zubeldia/profil/spieler/355628,,€22.00m,13,0,{}
Kalvin Phillips,Kalvin Phillips,Unknown,Kalvin PhillipsDefensive Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,,€22.00m,8,0,{}
Konstantinos Tsimikas,Konstantinos Tsimikas,Unknown,Konstantinos TsimikasLeft-Back,Unknown club,€22.00m,https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070,,€22.00m,14,0,{}
Pepelu,Pepelu,Unknown,PepeluDefensive Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/pepelu/profil/spieler/328480,,€22.00m,10,1,{}
Ben Chilwell,Ben Chilwell,Unknown,Ben ChilwellLeft-Back,Unknown club,€22.00m,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,,€22.00m,1,0,{}
Dominic Calvert-Lewin,Dominic Calvert-Lewin,Unknown,Dominic Calvert-LewinCentre-Forward,Unknown club,€22.00m,https://www.transfermarkt.com/dominic-calvert-lewin/profil/spieler/306024,,€22.00m,11,2,{}
Ferland Mendy,Ferland Mendy,Unknown,Ferland MendyLeft-Back,Unknown club,€22.00m,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,,€22.00m,14,0,{}
Sofyan Amrabat,Sofyan Amrabat,Unknown,Sofyan AmrabatDefensive Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/sofyan-amrabat/profil/spieler/287579,,€22.00m,15,2,{}
Lorenzo Pellegrini,Lorenzo Pellegrini,Unknown,Lorenzo PellegriniAttacking Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/lorenzo-pellegrini/profil/spieler/286297,,€22.00m,16,0,{}
Chris Führich,Chris Führich,Unknown,Chris FührichLeft Winger,Unknown club,€22.00m,https://www.transfermarkt.com/chris-fuhrich/profil/spieler/272278,,€22.00m,17,1,{}
Vitaly Janelt,Vitaly Janelt,Unknown,Vitaly JaneltDefensive Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/vitaly-janelt/profil/spieler/270171,,€22.00m,13,1,{}
José María Giménez,José María Giménez,Unknown,José María GiménezCentre-Back,Unknown club,€22.00m,https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,,€22.00m,15,1,{}
Patrik Schick,Patrik Schick,Unknown,Patrik SchickCentre-Forward,Unknown club,€22.00m,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086,,€22.00m,16,4,{}
James Ward-Prowse,James Ward-Prowse,Unknown,James Ward-ProwseCentral Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/james-ward-prowse/profil/spieler/181579,,€22.00m,7,0,{}
Piotr Zieliński,Piotr Zieliński,Unknown,Piotr ZielińskiCentral Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/piotr-zielinski/profil/spieler/181136,,€22.00m,16,4,{}
Leon Goretzka,Leon Goretzka,Unknown,Leon GoretzkaCentral Midfield,Unknown club,€22.00m,https://www.transfermarkt.com/leon-goretzka/profil/spieler/153084,,€22.00m,9,1,{}
Jordan Pickford,Jordan Pickford,Unknown,Jordan PickfordGoalkeeper,Unknown club,€22.00m,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164,,€22.00m,15,0,{}
Barış Alper Yılmaz,Barış Alper Yılmaz,Unknown,Barış Alper YılmazRight Winger,Unknown club,€21.00m,https://www.transfermarkt.com/baris-alper-yilmaz/profil/spieler/541537,,€21.00m,20,5,{}
Jeanuël Belocian,Jeanuël Belocian,Unknown,Jeanuël BelocianCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/jeanuel-belocian/profil/spieler/919515,,€20.00m,6,0,{}
Habib Diarra,Habib Diarra,Unknown,Habib DiarraAttacking Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/habib-diarra/profil/spieler/876631,,€20.00m,11,2,{}
Jack Hinshelwood,Jack Hinshelwood,Unknown,Jack HinshelwoodCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/jack-hinshelwood/profil/spieler/867688,,€20.00m,13,1,{}
Alex Scott,Alex Scott,Unknown,Alex ScottCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,,€20.00m,10,0,{}
Javi Guerra,Javi Guerra,Unknown,Javi GuerraCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/javi-guerra/profil/spieler/834764,,€20.00m,10,0,{}
Dango Ouattara,Dango Ouattara,Unknown,Dango OuattaraLeft Winger,Unknown club,€20.00m,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231,,€20.00m,9,1,{}
Vanderson,Vanderson,Unknown,VandersonRight-Back,Unknown club,€20.00m,https://www.transfermarkt.com/vanderson/profil/spieler/789082,,€20.00m,12,1,{}
Rodrigo Muniz,Rodrigo Muniz,Unknown,Rodrigo MunizCentre-Forward,Unknown club,€20.00m,https://www.transfermarkt.com/rodrigo-muniz/profil/spieler/735571,,€20.00m,11,1,{}
Alberto Moleiro,Alberto Moleiro,Unknown,Alberto MoleiroAttacking Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/alberto-moleiro/profil/spieler/733576,,€20.00m,13,4,{}
Milos Kerkez,Milos Kerkez,Unknown,Milos KerkezLeft-Back,Unknown club,€20.00m,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,,€20.00m,13,0,{}
Loïc Badé,Loïc Badé,Unknown,Loïc BadéCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/loic-bade/profil/spieler/730581,,€20.00m,9,0,{}
Georges Mikautadze,Georges Mikautadze,Unknown,Georges MikautadzeCentre-Forward,Unknown club,€20.00m,https://www.transfermarkt.com/georges-mikautadze/profil/spieler/729814,,€20.00m,18,3,{}
Jacob Greaves,Jacob Greaves,Unknown,Jacob GreavesCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/jacob-greaves/profil/spieler/693095,,€20.00m,7,0,{}
Johnny Cardoso,Johnny Cardoso,Unknown,Johnny CardosoDefensive Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/johnny-cardoso/profil/spieler/689505,,€20.00m,17,0,{}
Orri Óskarsson,Orri Óskarsson,Unknown,Orri ÓskarssonCentre-Forward,Unknown club,€20.00m,https://www.transfermarkt.com/orri-oskarsson/profil/spieler/660438,,€20.00m,28,12,{}
El Bilal Touré,El Bilal Touré,Unknown,El Bilal TouréCentre-Forward,Unknown club,€20.00m,https://www.transfermarkt.com/el-bilal-toure/profil/spieler/649016,,€20.00m,13,3,{}
Beñat Turrientes,Beñat Turrientes,Unknown,Beñat TurrientesCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/benat-turrientes/profil/spieler/634431,,€20.00m,12,0,{}
Enzo Le Fée,Enzo Le Fée,Unknown,Enzo Le FéeCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/enzo-le-fee/profil/spieler/633992,,€20.00m,7,0,{}
Manu Koné,Manu Koné,Unknown,Manu KonéCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/manu-kone/profil/spieler/624690,,€20.00m,17,1,{}
Matteo Ruggeri,Matteo Ruggeri,Unknown,Matteo RuggeriLeft Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631,,€20.00m,14,0,{}
Ander Barrenetxea,Ander Barrenetxea,Unknown,Ander BarrenetxeaLeft Winger,Unknown club,€20.00m,https://www.transfermarkt.com/ander-barrenetxea/profil/spieler/616369,,€20.00m,12,1,{}
Rayan Cherki,Rayan Cherki,Unknown,Rayan CherkiAttacking Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,,€20.00m,11,2,{}
Toti,Toti,Unknown,TotiCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/toti/profil/spieler/606718,,€20.00m,10,0,{}
Antony,Antony,Unknown,AntonyRight Winger,Unknown club,€20.00m,https://www.transfermarkt.com/antony/profil/spieler/602105,,€20.00m,5,1,{}
Beto,Beto,Unknown,BetoCentre-Forward,Unknown club,€20.00m,https://www.transfermarkt.com/beto/profil/spieler/595809,,€20.00m,10,4,{}
Arnaud Kalimuendo,Arnaud Kalimuendo,Unknown,Arnaud KalimuendoCentre-Forward,Unknown club,€20.00m,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959,,€20.00m,10,3,{}
Pierre Kalulu,Pierre Kalulu,Unknown,Pierre KaluluCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/pierre-kalulu/profil/spieler/585949,,€20.00m,13,0,{}
Filip Jørgensen,Filip Jørgensen,Unknown,Filip JørgensenGoalkeeper,Unknown club,€20.00m,https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323,,€20.00m,7,0,{}
Antoine Semenyo,Antoine Semenyo,Unknown,Antoine SemenyoRight Winger,Unknown club,€20.00m,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,,€20.00m,12,4,{}
Martin Baturina,Martin Baturina,Unknown,Martin BaturinaAttacking Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/martin-baturina/profil/spieler/580451,,€20.00m,20,3,{}
Leonardo Balerdi,Leonardo Balerdi,Unknown,Leonardo BalerdiCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,,€20.00m,8,0,{}
Strahinja Pavlović,Strahinja Pavlović,Unknown,Strahinja PavlovićCentre-Back,Unknown club,€20.00m,https://www.transfermarkt.com/strahinja-pavlovic/profil/spieler/574671,,€20.00m,14,1,{}
Gabriel Sara,Gabriel Sara,Unknown,Gabriel SaraCentral Midfield,Unknown club,€20.00m,https://www.transfermarkt.com/gabriel-sara/profil/spieler/553469,,€20.00m,16,2,{}
